index,unused_border,ellipse_similar_center_dist,ellipse_similar_axis_dist,ellipse_similar_angle_dist,ellipse_max_iter,ellipse_line_fitting_area,canny_quantile_2,canny_quantile_1,blur_k_size,num_data,duration_mean,hd_mean,hd_std,dice_mean,dice_std,diff_mean,diff_std,adiff_mean,adiff_std
394,5,10,20,0.17453292519943295,5000,7,0.9,0.8,11,100,1.9337164029991254,4.780426571170413,0.5924796357987877,0.8978440900339537,0.0947187238487764,-3.273188890243382,21.0907577075289,18.44644070016949,18.44644070016949
776,5,10,10,0.17453292519943295,5000,7,0.9,0.9,17,100,2.16693550499971,4.673386203199349,0.5768789202530268,0.9055839799690899,0.09523091347568526,1.1434061476557769,15.5968106532943,11.971504857534477,11.971504857534477
430,5,10,20,0.3490658503988659,10000,15,0.9,0.8,11,100,3.6911332460003905,5.014863009158157,0.5695550268971653,0.8674519720322844,0.10061384172282298,-7.153014840124151,20.051424102294458,17.236513831822723,17.236513831822723
41,5,20,10,0.17453292519943295,10000,15,0.9,0.7,5,100,3.751417614000384,5.267037261941652,0.6016127158873623,0.7188334806908572,0.1494037964973105,-9.019815287087598,44.77322358825166,32.0957273824707,32.0957273824707
265,5,20,10,0.17453292519943295,1000,15,0.95,0.9,5,100,0.3507550190004986,5.3314199727158496,0.6403605948533568,0.7032667852700152,0.18724612779946312,-1.5872307263367547,42.18018087338965,28.805859338191567,28.805859338191567
523,5,20,20,0.17453292519943295,10000,15,0.9,0.9,11,100,3.625804369000252,4.989028492626404,0.619216431999751,0.8651529369249958,0.08115755079047486,-10.57193168549033,18.22867852427764,16.277710679384764,16.277710679384764
497,5,20,10,0.17453292519943295,10000,7,0.9,0.9,11,100,4.078517535000574,4.639660200004205,0.5256580565549677,0.9263880333862605,0.06308977421109987,0.5353484868754288,15.758563116147108,13.673260701344143,13.673260701344143
414,5,10,20,0.3490658503988659,1000,15,0.9,0.8,11,100,0.35688970499904826,5.285145675147028,0.6254171880155863,0.7900185294150903,0.13808029001063737,-1.6753055692159577,27.10950349769254,19.348145274416563,19.348145274416563
802,5,10,20,0.17453292519943295,5000,15,0.9,0.9,17,100,2.0896593209996355,4.7158928552062545,0.5599013064318021,0.9048644980843084,0.08393947543528903,-2.5678939386745503,20.116720856732808,17.654679282315378,17.654679282315378
849,5,20,10,0.17453292519943295,5000,15,0.95,0.9,17,100,2.107909177999245,4.669505347220743,0.5823323119077397,0.9019996512725964,0.09204099575170743,1.2401240457129898,16.518708904865747,12.952292584144528,12.952292584144528
310,5,10,20,0.3490658503988659,10000,7,0.9,0.7,11,100,3.8114799470000436,4.715029949464129,0.6017588493608907,0.9072239047837275,0.0990616468934677,-2.42261425833288,21.681759598096043,19.554645937241812,19.554645937241812
488,5,10,10,0.17453292519943295,5000,7,0.9,0.9,11,100,2.057099763000151,4.693297582482256,0.5439825107354868,0.9227759514010068,0.06402180810343819,3.0495713682807684,11.832334904633647,9.535232828879227,9.535232828879227
366,5,10,20,0.3490658503988659,1000,15,0.95,0.7,11,100,0.35907568000024187,5.258571395146765,0.5197385532958143,0.785929454130357,0.1684764363049516,-7.262225410251976,32.28794295501066,25.044590754044307,25.044590754044307
597,5,20,10,0.3490658503988659,10000,7,0.9,0.7,17,100,3.9388537609996273,4.5881339954621385,0.5115103795313668,0.9117017427790866,0.09940218517204714,0.883803286873827,19.44664173935358,16.802442231061583,16.802442231061583
223,5,20,20,0.3490658503988659,1000,15,0.9,0.9,5,100,0.3489805359998718,5.45000543241258,0.5388359944946102,0.7336872996187536,0.16246880088855473,-10.961246457058166,42.91434880243261,31.290501320722,31.290501320722
516,5,10,10,0.3490658503988659,5000,15,0.9,0.9,11,100,1.8423904449993278,5.097628870636183,0.6389542413047208,0.8646069287654657,0.08984053103530493,-9.024907541755889,20.811119455554547,17.779221769006874,17.779221769006874
142,5,10,20,0.3490658503988659,10000,15,0.9,0.8,5,100,3.6784346250002273,5.251701672437548,0.5682060585441894,0.7608813486237499,0.14353906600904778,-11.539976777914555,39.14932030890491,27.26472176364112,27.26472176364112
288,5,10,10,0.17453292519943295,1000,7,0.9,0.7,11,100,0.3647494480002206,5.115615174446084,0.6670312540774425,0.8142995193222445,0.16391966976733785,-3.003213801286356,28.08667416268853,21.29203440255223,21.29203440255223
143,5,20,20,0.3490658503988659,10000,15,0.9,0.8,5,100,3.8279349930002353,5.180166502865176,0.5910741827287521,0.7881502780280236,0.1459468562126936,-13.778582582135083,32.615337625214636,26.847975722699523,26.847975722699523
773,5,20,10,0.3490658503988659,1000,7,0.9,0.9,17,100,0.4100653959996998,4.706924001764555,0.6315496746321931,0.8932193057807051,0.10367377300692383,-2.44814936180064,17.60519023993847,13.774899161279581,13.774899161279581
97,5,20,10,0.17453292519943295,1000,7,0.9,0.8,5,100,0.3947074490005616,5.4342505095070965,0.593671507238591,0.7014485480870032,0.17366887445052567,-1.067250743221404,38.534868025836275,25.348558679109942,25.348558679109942
633,5,20,10,0.17453292519943295,5000,7,0.95,0.7,17,100,2.334189817000879,4.76707598848435,0.5458627866362649,0.896039243066665,0.10870120090973198,1.9738142802387961,19.474876222883587,16.034802694660605,16.034802694660605
818,5,10,20,0.17453292519943295,1000,7,0.95,0.9,17,100,0.41543689899961467,4.866048258844541,0.6208289852164277,0.8851214991410352,0.1237538364069955,-0.38426558373659847,19.43279847283001,16.552727783059485,16.552727783059485
256,5,10,10,0.17453292519943295,10000,7,0.95,0.9,5,100,3.8099854719999713,4.959120479295062,0.5748289792540264,0.8374182355164506,0.15943841911013176,-6.290747595140992,30.852006520990763,25.993296926388545,25.993296926388545
545,5,20,10,0.17453292519943295,10000,7,0.95,0.9,11,100,4.278030608999543,4.627893277455634,0.5436537561227921,0.9284133692688917,0.06905566882533457,-0.2925760153821524,13.73104335823291,11.91700990767927,11.91700990767927
722,5,10,20,0.17453292519943295,1000,7,0.95,0.8,17,100,0.4078616989997681,4.928452410478966,0.5225779509240529,0.8745050967091145,0.15813947286530416,-1.1219649730850245,18.5808628912201,15.401144340197979,15.401144340197979
829,5,20,10,0.3490658503988659,5000,7,0.95,0.9,17,100,2.2839315589994658,4.535782688330257,0.5474231685803304,0.9053412123323098,0.09054263708603306,3.297664918685955,15.028004783897781,11.482155783375593,11.482155783375593
616,5,10,10,0.17453292519943295,10000,15,0.9,0.7,17,100,5.28708535999991,4.761227810987242,0.6201252169755194,0.895655724073556,0.10642733481771369,-2.1032224883125994,22.873858438796564,19.905524746025435,19.905524746025435
150,5,10,20,0.3490658503988659,1000,7,0.95,0.8,5,100,0.3605849239998497,5.244099560303264,0.5940953581478648,0.7572852700106849,0.17912557737886783,-2.1710783410507464,34.78911723438118,25.428722829718705,25.428722829718705
317,5,20,10,0.3490658503988659,1000,15,0.9,0.7,11,100,0.37750606600078757,5.251842187867851,0.665266433853039,0.7793347757374686,0.13171737923076454,-2.6603782691930746,31.208914644198483,22.60764217301495,22.60764217301495
101,5,20,10,0.3490658503988659,1000,7,0.9,0.8,5,100,0.35256679099984467,5.4007619582546145,0.5960901822065318,0.7219352678177751,0.17376446450008037,0.18006053507470313,32.610899001542,21.209862857879763,21.209862857879763
747,5,20,20,0.17453292519943295,1000,15,0.95,0.8,17,100,0.41313760600052774,4.828896389081916,0.5042843348903351,0.8952364870905618,0.0856126968763833,-2.439106843910207,24.48293297981894,21.404889263232025,21.404889263232025
75,5,20,20,0.17453292519943295,1000,15,0.95,0.7,5,100,0.40183796899975277,5.400695864176527,0.5435426095073509,0.6805959374368373,0.18761882461071155,-2.459066600261823,41.16898220370157,28.047985409690718,28.047985409690718
700,5,10,10,0.3490658503988659,1000,15,0.9,0.8,17,100,0.41178571600001307,4.824568343556208,0.5890758884720217,0.8657647051421377,0.13016938417573942,-4.469134050430643,26.875785857057508,23.11100412650576,23.11100412650576
338,5,10,20,0.17453292519943295,1000,7,0.95,0.7,11,100,0.3901446269999724,4.846462423245785,0.6210141429338182,0.8620112504108883,0.13358553001496773,1.2542416287265152,23.85858241421312,19.72173368862121,19.72173368862121
483,5,20,20,0.17453292519943295,1000,7,0.9,0.9,11,100,0.39234875400085,4.9214493104745545,0.5406100972064292,0.8802660184238492,0.13122090220014454,-1.7351379821793123,17.769655529428444,14.39842083803274,14.39842083803274
