index,unused_border,ellipse_similar_center_dist,ellipse_similar_axis_dist,ellipse_similar_angle_dist,ellipse_max_iter,ellipse_line_fitting_area,canny_quantile_2,canny_quantile_1,blur_k_size,num_data,duration_mean,hd_mean,hd_std,dice_mean,dice_std,diff_mean,diff_std,adiff_mean,adiff_std
394,5,10,20,0.17453292519943295,5000,7,0.9,0.8,11,100,0.4255016360001173,4.811460830402002,0.5858988411215339,0.9096702085337297,0.08026720073417161,-0.5590093205197136,13.202582972203423,11.04362935058239,11.04362935058239
776,5,10,10,0.17453292519943295,5000,7,0.9,0.9,17,100,0.24062586699961686,4.70617815117134,0.5522106257483717,0.9044205884285038,0.10578818285792486,0.6376668467638481,18.384811748247255,15.682348007119419,15.682348007119419
430,5,10,20,0.3490658503988659,10000,15,0.9,0.8,11,100,0.6923230559995863,5.002145295515574,0.6101353075230692,0.8647714410200595,0.10004061949089882,-9.03404925927632,19.905350810636047,16.908535103614085,16.908535103614085
41,5,20,10,0.17453292519943295,10000,15,0.9,0.7,5,100,1.2883723329997157,5.453446112219983,0.6815946106339191,0.7426312913807693,0.1298457666571383,-11.398247913751783,36.22238173924195,23.784071642885056,23.784071642885056
265,5,20,10,0.17453292519943295,1000,15,0.95,0.9,5,100,0.09579695400083438,5.434418973976559,0.6412506839609482,0.6232433007940802,0.23870809926298753,6.204070162443198,44.161456461803596,30.378126263680475,30.378126263680475
523,5,20,20,0.17453292519943295,10000,15,0.9,0.9,11,100,0.6282036000001244,5.016591743860296,0.6307020902928017,0.8727359543193108,0.07976176286225184,-10.71538553676828,18.092450143566854,16.67571071878246,16.67571071878246
497,5,20,10,0.17453292519943295,10000,7,0.9,0.9,11,100,0.560365816000849,4.576856790955519,0.5340732699367692,0.9236504643542554,0.08490867037458859,-0.11196901633378765,11.79673661025589,9.902881904987936,9.902881904987936
414,5,10,20,0.3490658503988659,1000,15,0.9,0.8,11,100,0.07988836499978788,5.166112958206831,0.6366554838359973,0.785331567346581,0.1320268034217248,-6.477454580390026,30.724698262047937,22.32952744468098,22.32952744468098
802,5,10,20,0.17453292519943295,5000,15,0.9,0.9,17,100,0.274166825999273,4.758990067362495,0.5791089801183043,0.8914050558510972,0.10558996284036379,-1.7897278137134116,19.557837099194106,16.20651173965886,16.20651173965886
849,5,20,10,0.17453292519943295,5000,15,0.95,0.9,17,100,0.2487811240006704,4.707608741223972,0.6100338950275427,0.9037944083617491,0.09361566195700353,0.37558550994119794,15.251937410549571,12.243582822845818,12.243582822845818
310,5,10,20,0.3490658503988659,10000,7,0.9,0.7,11,100,0.6739766140002758,4.66154650166328,0.5685212191262562,0.9047765418026202,0.11105266840920365,1.054945828658096,20.596454703873526,18.166268024655526,18.166268024655526
488,5,10,10,0.17453292519943295,5000,7,0.9,0.9,11,100,0.28245859800023027,4.642828357347953,0.5895939744885865,0.9225354108002003,0.08262666849755776,0.6036425043263193,9.870523007275136,7.661728626005807,7.661728626005807
366,5,10,20,0.3490658503988659,1000,15,0.95,0.7,11,100,0.07472510799998418,5.256389071181802,0.6279467361125863,0.7761209715778176,0.1481048985869858,-3.0684147099425014,38.584625062341956,28.925948043993547,28.925948043993547
597,5,20,10,0.3490658503988659,10000,7,0.9,0.7,17,100,0.4754676060006022,4.6252782727522,0.5566865353072148,0.9187220144357604,0.09188596912970236,1.0773623622793127,15.887387247919207,13.292822799461522,13.292822799461522
223,5,20,20,0.3490658503988659,1000,15,0.9,0.9,5,100,0.10161435799906031,5.3208746372185285,0.6342840511792819,0.7168570084329747,0.1616594883437914,-0.8857567286125296,36.53998673459218,23.603912194030606,23.603912194030606
516,5,10,10,0.3490658503988659,5000,15,0.9,0.9,11,100,0.3251432529999875,5.120825844225392,0.6089755208240616,0.8634766082658909,0.09017749847553833,-8.81225931309533,24.764930069855136,21.75054612090197,21.75054612090197
142,5,10,20,0.3490658503988659,10000,15,0.9,0.8,5,100,1.1663246699993033,5.29157907603574,0.5853349917667764,0.7544944332936541,0.1615208624657486,-15.492506321524273,32.35837052053393,24.319792001889798,24.319792001889798
288,5,10,10,0.17453292519943295,1000,7,0.9,0.7,11,100,0.0769543030008208,5.170999273237682,0.7789960621361213,0.7515866666960533,0.23280812610399987,1.8513723481608346,36.682674362261984,29.143483595473803,29.143483595473803
143,5,20,20,0.3490658503988659,10000,15,0.9,0.8,5,100,1.182402402999578,5.174924319046795,0.5413771180774516,0.792283457507338,0.1275798133432649,-16.5162278388276,29.038861279636883,23.764386582722224,23.764386582722224
773,5,20,10,0.3490658503988659,1000,7,0.9,0.9,17,100,0.055331741999834774,4.714539223642223,0.6056300740592728,0.8914071103171126,0.10334111464088962,2.478934014459452,22.55803348550297,18.987936213128062,18.987936213128062
97,5,20,10,0.17453292519943295,1000,7,0.9,0.8,5,100,0.10346315999981016,5.412762479555583,0.6528897225515508,0.6231506759219922,0.2459236034228418,8.947678628397403,43.742155138400676,30.34932000131598,30.34932000131598
